feature,gain
ps_car_11_cat,16188.04889535904
ps_car_13,4654.276376485825
ps_ind_05_cat,4513.413736104965
ps_reg_03,3635.71505385451
ps_ind_17_bin,3217.8926663398743
ps_ind_03,1908.6371775269508
ps_car_01_cat,1274.0320873260498
ps_ind_15,1008.3287245035172
ps_car_09_cat,934.6890063285828
ps_ind_06_bin,886.0922193527222
missing_count,855.8267345428467
ps_reg_02,821.8259913921356
ps_reg_01,704.270229190588
ps_ind_01,547.5106625556946
ps_car_06_cat,515.7090437412262
ps_ind_16_bin,491.05770206451416
ps_car_07_cat,394.768283367157
ps_car_03_cat,357.50602650642395
ps_ind_07_bin,356.79463052749634
ps_car_14,350.0784375667572
ps_car_15,322.8859539926052
ps_car_12,321.7228572368622
ps_ind_04_cat,240.38649988174438
ps_car_04_cat,201.15774941444397
ps_ind_09_bin,193.92582988739014
ps_ind_08_bin,147.58789014816284
ps_car_05_cat,116.8407187461853
ps_ind_12_bin,98.79550075531006
sum_all_bin,98.63314008712769
ps_ind_02_cat,57.36016893386841
ps_car_11,18.505149841308594
ps_car_08_cat,16.190119981765747
ps_ind_13_bin,0.0
ps_car_02_cat,0.0
ps_ind_10_bin,0.0
ps_ind_11_bin,0.0
ps_ind_18_bin,0.0
